term,p-value,q-value
POU2F1 35413990 ChIP-Seq Human ARposCRProstateCancer,0.03436745092153706,0.20629601952421392
UBF1/2 26484160 Chip-Seq FIBROBLAST Human,0.034519652669390374,0.20629601952421392
ZFP281 27345836 Chip-Seq ESCs Mouse,0.036250392513800946,0.21493342962907175
ERA 27197147 Chip-Seq ENDOMETRIOID-ADENOCARCINOMA Human,0.03723508033115293,0.2190469960106106
POU5F1 18700969 ChIP-ChIP MESCs Mouse,0.03844193233916171,0.22439360504952532
EBF1 22473956 ChIP-Seq BONE MARROW Mouse,0.039357932862805034,0.2275738606072422
STAT3 23295773 ChIP-Seq U87 Human,0.03975756719492043,0.2275738606072422
NFKB1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation,0.03989342576381935,0.2275738606072422
RARB 27405468 Chip-Seq BRAIN Mouse,0.041991762799589785,0.23774283750444444
TBX2 35687133 ChIP-Seq MCF-7 Human BreastCancer,0.04241279174783205,0.23833456855311594
NR0B1 18358816 ChIP-ChIP MESCs Mouse,0.042801226579502374,0.2387357304767799
VDR 23401126 ChIP-Seq LCL-AND-THP1 Human,0.04343873657277132,0.23965014247661315
ESR1 21235772 ChIP-Seq MCF-7 Human,0.04360168594860027,0.23965014247661315
EP300 21415370 ChIP-Seq HL-1 Mouse,0.04409285453973674,0.24059361933638962
ZFP57 27257070 Chip-Seq ESCs Mouse,0.04465574504620305,0.2417076755207687
FLI1 21867929 ChIP-Seq TH2 Mouse,0.04507859309692781,0.2417076755207687
TP53 23651856 ChIP-Seq MEFs Mouse,0.045260002985960675,0.2417076755207687
UBF1/2 26484160 Chip-Seq HMEC-DERIVED Human,0.047787579803774204,0.253408785860859
TCF3/E2A 22897851 ChIP-Seq JUKARTE6-1 Human,0.04855670224110889,0.25468690191842297
ETS2 20176728 ChIP-ChIP TROPHOBLAST STEM CELLS Mouse,0.04913848350731805,0.25468690191842297
KDM2B 26808549 Chip-Seq SIL-ALL Human,0.04915381460801084,0.25468690191842297
ISL1 27105846 Chip-Seq CPCs Mouse,0.04938152414354549,0.25468690191842297
SOX2 18358816 ChIP-ChIP MESCs Mouse,0.04988962910090337,0.25555707968013763
