ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0071168	GO:0071168	protein localization to chromatin	15/916	54/18614	3.05849127080232e-08	1.40106704668845e-05	1.26203008226791e-05	JARID2/H4C13/H4C9/H4C3/H1-5/H2BC11/H4C5/H2AC8/H4C11/H4C1/H4C14/H4C12/H4C2/H2AC4/H4C4	15
GO:0030219	GO:0030219	megakaryocyte differentiation	16/916	66/18614	8.74364807366558e-08	3.67160355360007e-05	3.30724653453035e-05	H4C13/H4C9/H4C3/H4C5/MYB/SH2B3/HMGB2/H4C11/MTURN/H4C1/PRMT6/H4C14/H4C12/H4C2/H4C4/MAF	16
GO:0001822	GO:0001822	kidney development	38/916	310/18614	2.11017954172072e-07	8.17938054671591e-05	7.36768759829937e-05	CENPF/PDGFD/POU3F3/ACVR2B/HELLS/CYP26B1/TGFBR1/ANKS6/PROX1/HAS2/HES1/TP73/MMP17/SERPINF1/EDNRB/PRKX/CNTRL/PDGFA/TGFB2/BMP6/NOTCH1/CTNNBIP1/ADAMTS16/FREM2/EPHA7/CTSH/SMAD6/KLF15/CDKN1C/FOXC2/SOX8/WNK4/BASP1/PLCE1/SDC1/WNT5A/CITED1/ERBB4	38
GO:0021700	GO:0021700	developmental maturation	38/916	319/18614	4.38823842015788e-07	0.00015794523856554	0.000142271308779856	BCL11A/SLC24A4/TYMS/TRIP13/RFLNB/FZD5/NEFL/XYLT1/BCAN/ANKRD27/SEMA4D/HES1/FARP2/RPS6KA2/EDNRB/CDK5R1/FAM210B/CCDC154/C1QL1/TGFB2/SHB/HOXB13/REC8/DAB2IP/CDKN1C/SOX8/CEBPA/UNC13A/RAC3/WNT5A/IGF1/AGRN/CDK5R2/LHX6/SHANK1/PLXNB1/FGFR3/PALM	38
GO:0072001	GO:0072001	renal system development	38/916	320/18614	4.74993878549468e-07	0.000159566276934051	0.000143731481003881	CENPF/PDGFD/POU3F3/ACVR2B/HELLS/CYP26B1/TGFBR1/ANKS6/PROX1/HAS2/HES1/TP73/MMP17/SERPINF1/EDNRB/PRKX/CNTRL/PDGFA/TGFB2/BMP6/NOTCH1/CTNNBIP1/ADAMTS16/FREM2/EPHA7/CTSH/SMAD6/KLF15/CDKN1C/FOXC2/SOX8/WNK4/BASP1/PLCE1/SDC1/WNT5A/CITED1/ERBB4	38
GO:0007411	GO:0007411	axon guidance	30/916	225/18614	6.76357426467206e-07	0.000200480298351073	0.000180585338880903	TRIO/SEMA6A/EPHB3/SEMA4D/FYN/SEMA7A/CDK5R1/ERBB2/PLXNC1/PLXNA2/EFNA2/NCAM1/NOTCH1/EGR2/EPHA7/GBX2/DPYSL5/SEMA3D/NFASC/NTN1/ALCAM/RAC3/SEMA6C/EFNB3/WNT5A/ISL1/PLXNB1/GDF7/TUBB2B/EPHA10	30
GO:0097485	GO:0097485	neuron projection guidance	30/916	225/18614	6.76357426467206e-07	0.000200480298351073	0.000180585338880903	TRIO/SEMA6A/EPHB3/SEMA4D/FYN/SEMA7A/CDK5R1/ERBB2/PLXNC1/PLXNA2/EFNA2/NCAM1/NOTCH1/EGR2/EPHA7/GBX2/DPYSL5/SEMA3D/NFASC/NTN1/ALCAM/RAC3/SEMA6C/EFNB3/WNT5A/ISL1/PLXNB1/GDF7/TUBB2B/EPHA10	30
GO:0071695	GO:0071695	anatomical structure maturation	31/916	247/18614	1.65830699525696e-06	0.000464233830505546	0.0004181648984531	BCL11A/SLC24A4/TYMS/TRIP13/RFLNB/FZD5/XYLT1/SEMA4D/HES1/FARP2/RPS6KA2/EDNRB/CDK5R1/FAM210B/CCDC154/C1QL1/TGFB2/SHB/HOXB13/REC8/CDKN1C/SOX8/CEBPA/RAC3/WNT5A/IGF1/AGRN/CDK5R2/LHX6/PLXNB1/FGFR3	31
GO:0034502	GO:0034502	protein localization to chromosome	19/916	116/18614	3.68318873907364e-06	0.000976820424010108	0.000879884201821912	JARID2/H4C13/H4C9/AURKB/TERT/H4C3/H1-5/H2BC11/HASPIN/H4C5/H2AC8/H4C11/H4C1/H4C14/H4C12/H4C2/H2AC4/CDT1/H4C4	19
GO:0061564	GO:0061564	axon development	47/916	479/18614	5.4173686689757e-06	0.00136490603614843	0.0012294575631907	TRIO/NEFL/SEMA6A/TRIM32/RTN4RL1/POU4F1/EPHB3/ADARB1/SEMA4D/FYN/ANK3/SEMA7A/VASH2/CDK5R1/ERBB2/PLXNC1/PLXNA2/EFNA2/NCAM1/DCLK1/NOTCH1/CSPG5/EGR2/EPHA7/ADCY1/GBX2/SLITRK2/RTN4R/DPYSL5/SEMA3D/PTPRF/NFASC/NTN1/ALCAM/TNFRSF21/RAC3/SEMA6C/EFNB3/WNT5A/SIPA1L1/ISL1/PLXNB1/GDF7/ARHGAP4/NPTX1/TUBB2B/EPHA10	47
GO:0006813	GO:0006813	potassium ion transport	29/916	241/18614	8.19152832814671e-06	0.00196557672597768	0.0017705198070661	SLC24A4/SLC12A7/KCNS3/RGS7/KCNE4/CDK2/ANK3/FXYD3/KCNC4/KCNH3/KCNJ10/ATP1B1/HCN1/HCN3/KCNAB2/KCND3/TMEM38A/KCNK2/KCNG1/HCN2/KCNG3/ATP1A3/KCNJ4/ACTN2/WNK4/KCNH8/KCNA3/KCNA2/FXYD1	29
GO:0048762	GO:0048762	mesenchymal cell differentiation	30/916	255/18614	9.03556427000303e-06	0.00206955492529751	0.00186417957570589	DAB2/RFLNB/SEMA6A/LDLRAD4/TGFBR1/IL17RD/HAS2/SEMA4D/HES1/TGFBR3/SEMA7A/EDNRB/EOMES/TGFB2/ZNF703/NOTCH1/NRTN/GBX2/SEMA3D/DAB2IP/RADIL/NOTCH4/FOXC2/SOX8/MCRIP1/SEMA6C/WNT5A/ISL1/ERBB4/IGF1	30
GO:0050919	GO:0050919	negative chemotaxis	11/916	47/18614	1.3161831359023e-05	0.00288358557470074	0.0025974286874191	SEMA6A/SEMA4D/SEMA7A/NRG3/PDGFA/DPP4/EPHA7/SEMA3D/NTN1/SEMA6C/WNT5A	11
GO:0030900	GO:0030900	forebrain development	40/916	397/18614	1.45305819550063e-05	0.00305081676963654	0.00274806444692927	BNIP3/POU3F3/POU3F1/NEFL/BCAN/SLC8A1/RTN4RL1/POU4F1/PROX1/EPHB3/FYN/HES1/SEMA7A/NRG3/CDK5R1/PHACTR1/EOMES/MDGA1/EFNA2/DCLK1/NOTCH1/GBX2/RTN4R/ATP1A3/DAB2IP/RAC3/WNT5A/ISL1/ERBB4/ZMIZ1/CDK5R2/KCNA3/KCNA2/LHX6/OLIG2/GDF7/HESX1/TUBB2B/LPAR1/TOX	40
GO:0021953	GO:0021953	central nervous system neuron differentiation	23/916	177/18614	2.01982801376497e-05	0.00398974078893699	0.00359381294991619	RORA/FOXN4/POU4F1/PROX1/EPHB3/ADARB1/HES1/CBLN1/MNX1/EOMES/MDGA1/DCLK1/MDGA2/GBX2/RAC3/ISL1/ZMIZ1/LHX6/OLIG2/KNDC1/GDF7/SPOCK1/TOX	23
GO:0001755	GO:0001755	neural crest cell migration	12/916	58/18614	2.05860806732212e-05	0.00398974078893699	0.00359381294991619	SEMA6A/SEMA4D/SEMA7A/EDNRB/NRTN/GBX2/SEMA3D/RADIL/SOX8/SEMA6C/ISL1/ERBB4	12
GO:0071805	GO:0071805	potassium ion transmembrane transport	26/916	217/18614	2.55439072019016e-05	0.00476724994038453	0.00429416482863937	SLC24A4/SLC12A7/KCNS3/RGS7/KCNE4/ANK3/KCNC4/KCNH3/KCNJ10/ATP1B1/HCN1/HCN3/KCNAB2/KCND3/TMEM38A/KCNK2/KCNG1/HCN2/KCNG3/ATP1A3/KCNJ4/ACTN2/WNK4/KCNH8/KCNA3/KCNA2	26
GO:0090497	GO:0090497	mesenchymal cell migration	12/916	60/18614	2.95045935709197e-05	0.00530977310728087	0.00478284990518067	SEMA6A/SEMA4D/SEMA7A/EDNRB/NRTN/GBX2/SEMA3D/RADIL/SOX8/SEMA6C/ISL1/ERBB4	12
GO:0007409	GO:0007409	axonogenesis	41/916	427/18614	3.52147179638915e-05	0.006118860821381	0.00551164660109982	TRIO/NEFL/SEMA6A/POU4F1/EPHB3/ADARB1/SEMA4D/FYN/ANK3/SEMA7A/CDK5R1/ERBB2/PLXNC1/PLXNA2/EFNA2/NCAM1/DCLK1/NOTCH1/EGR2/EPHA7/ADCY1/GBX2/SLITRK2/RTN4R/DPYSL5/SEMA3D/NFASC/NTN1/ALCAM/RAC3/SEMA6C/EFNB3/WNT5A/SIPA1L1/ISL1/PLXNB1/GDF7/ARHGAP4/NPTX1/TUBB2B/EPHA10	41
GO:0007416	GO:0007416	synapse assembly	24/916	197/18614	3.93855810349236e-05	0.0065231971450236	0.00587585801053713	AMIGO2/FZD5/POU4F1/EPHB3/SEMA4D/CBLN1/NRG3/RAB17/MDGA1/BSN/EPHA7/SLITRK2/ADD2/SPTBN2/NTN1/EFNB3/WNT5A/ACHE/ERBB4/AGRN/DNER/PLXNB1/NPTX1/LRFN3	24
GO:1903706	GO:1903706	regulation of hemopoiesis	40/916	415/18614	4.01308020432093e-05	0.0065231971450236	0.00587585801053713	H4C13/CAMK4/SYK/H4C9/CYP26B1/H4C3/TLR4/PIK3R6/POU4F1/FANCD2/H4C5/MYB/HMGB2/ARID1B/H4C11/MTURN/H4C1/PRMT6/H4C14/CEACAM1/PRKCA/FAM210B/H4C12/FANCA/H4C2/ERBB2/SHB/CTNNBIP1/H4C4/CTLA4/TCF7/IRF7/FCGR2B/RASGRP1/NRARP/CEBPA/SIGLEC15/ZMIZ1/AGER/TOX	40
GO:0071526	GO:0071526	semaphorin-plexin signaling pathway	10/916	44/18614	4.26940254473214e-05	0.00652487893306526	0.00587737290385047	SEMA6A/SEMA4D/FARP2/SEMA7A/PLXNC1/PLXNA2/NCAM1/SEMA3D/SEMA6C/PLXNB1	10
GO:0014032	GO:0014032	neural crest cell development	14/916	82/18614	4.27308999387088e-05	0.00652487893306526	0.00587737290385047	SEMA6A/SEMA4D/HES1/SEMA7A/EDNRB/NRTN/GBX2/SEMA3D/RADIL/FOXC2/SOX8/SEMA6C/ISL1/ERBB4	14
GO:0051960	GO:0051960	regulation of nervous system development	43/916	461/18614	4.53953002664886e-05	0.00672785053067165	0.00606020231421359	AMIGO2/OBSL1/NEFL/SEMA6A/BHLHE40/TRIM32/ANKRD27/PER2/POU4F1/HES6/PROX1/EPHB3/SLC7A5/SEMA4D/HES1/RXRG/TP73/HMGB2/CBLN1/XRCC2/SERPINF1/SEMA7A/PLXNC1/PLXNA2/NOTCH1/EGR2/EPHA7/GBX2/SLITRK2/RTN4R/DPYSL5/SEMA3D/SOX8/NTN1/SORL1/TNFRSF21/SEMA6C/EFNB3/WNT5A/AGRN/PLXNB1/OLIG2/ARHGAP4	43
GO:0048640	GO:0048640	negative regulation of developmental growth	17/916	116/18614	5.20088403228573e-05	0.00748778703962508	0.00674472539765897	BCL11A/JARID2/SEMA6A/SEMA4D/TP73/SEMA7A/WWC3/KCNK2/EPHA7/NKD1/RTN4R/SEMA3D/NTN1/SEMA6C/WNT5A/FGFR3/ARHGAP4	17
GO:0048813	GO:0048813	dendrite morphogenesis	19/916	140/18614	5.70750791234344e-05	0.00798892565841627	0.00719613278304822	OBSL1/VLDLR/ANKRD27/CHRNA7/EPHB3/SEMA4D/FYN/CDK5R1/KIF1A/PHACTR1/CTNND2/DCLK1/DPYSL5/CELSR2/ARHGAP33/SIPA1L1/MAPK8IP2/SHANK1/KNDC1	19
GO:0010975	GO:0010975	regulation of neuron projection development	42/916	452/18614	6.04979346356381e-05	0.00823916466564812	0.00742153895160374	MINAR1/BCL11A/OBSL1/DAB2/NEFL/SEMA6A/VLDLR/ANKRD27/RTN4RL1/EPHB3/SEMA4D/FYN/HES1/SERPINF1/SEMA7A/RAB17/CDK5R1/KIF1A/PLXNC1/PLXNA2/DPYSL3/EPHA7/RTN4R/DPYSL5/SEMA3D/DAB2IP/PTPRF/NTN1/ARHGAP33/SEMA6C/EFNB3/WNT5A/SIPA1L1/LTK/PLXNB1/KNDC1/SNAP25/SPOCK1/ARHGAP4/TUBB2B/LPAR1/TOX	42
GO:0010977	GO:0010977	negative regulation of neuron projection development	19/916	143/18614	7.6441095505163e-05	0.0101364915855399	0.00913058182322058	MINAR1/BCL11A/DAB2/SEMA6A/RTN4RL1/SEMA4D/HES1/SEMA7A/DPYSL3/EPHA7/RTN4R/SEMA3D/NTN1/SEMA6C/EFNB3/WNT5A/SPOCK1/ARHGAP4/LPAR1	19
GO:0034329	GO:0034329	cell junction assembly	41/916	444/18614	8.46796563929279e-05	0.0109410458606145	0.00985529496265332	SORBS1/AMIGO2/PTPRK/PTPRJ/FZD5/POU4F1/EPHB3/SEMA4D/CBLN1/CLDN20/NRG3/TLN2/RAB17/STON1/CORO2B/PRKCA/CDH7/CTNND2/MDGA1/ZNF703/BSN/EPHA7/FBF1/SLITRK2/JAM3/LAMA3/ADD2/SPTBN2/ACTN2/CLDN14/NTN1/EFNB3/WNT5A/ACHE/ERBB4/AGRN/DNER/PLXNB1/NPTX1/ITGB4/LRFN3	41
GO:0031345	GO:0031345	negative regulation of cell projection organization	23/916	195/18614	9.3508554716425e-05	0.0114062330046596	0.0102743185711643	MINAR1/BCL11A/GRIN2B/RAP1GAP/DAB2/SEMA6A/RTN4RL1/SEMA4D/FYN/HES1/SEMA7A/DPYSL3/EPHA7/RTN4R/DPYSL5/SEMA3D/NTN1/SEMA6C/EFNB3/WNT5A/SPOCK1/ARHGAP4/LPAR1	23
GO:0016055	GO:0016055	Wnt signaling pathway	42/916	461/18614	9.42378020730447e-05	0.0114062330046596	0.0102743185711643	DAB2/PRKAA2/CCND1/TMEM170B/FZD5/TERT/NOTUM/WLS/ANKRD6/TLE1/EDNRB/GPC5/IGFBP2/CELSR3/PTPRU/CTNND2/RNF43/ZNF703/KREMEN2/NOTCH1/NKD2/CTNNBIP1/TPBGL/WWOX/TLE2/TCF7/NKD1/ADGRA2/DAB2IP/PLEKHA4/NRARP/KLF15/DKK2/TMEM132A/CELSR2/RAC3/SDC1/WNT5A/ISL1/CITED1/TLE6/HESX1	42
GO:0048864	GO:0048864	stem cell development	14/916	88/18614	9.50708049604489e-05	0.0114062330046596	0.0102743185711643	SEMA6A/SEMA4D/HES1/SEMA7A/EDNRB/NRTN/GBX2/SEMA3D/RADIL/FOXC2/SOX8/SEMA6C/ISL1/ERBB4	14
GO:0198738	GO:0198738	cell-cell signaling by wnt	42/916	463/18614	0.000103743098095042	0.012157243518626	0.0109508014439614	DAB2/PRKAA2/CCND1/TMEM170B/FZD5/TERT/NOTUM/WLS/ANKRD6/TLE1/EDNRB/GPC5/IGFBP2/CELSR3/PTPRU/CTNND2/RNF43/ZNF703/KREMEN2/NOTCH1/NKD2/CTNNBIP1/TPBGL/WWOX/TLE2/TCF7/NKD1/ADGRA2/DAB2IP/PLEKHA4/NRARP/KLF15/DKK2/TMEM132A/CELSR2/RAC3/SDC1/WNT5A/ISL1/CITED1/TLE6/HESX1	42
GO:0060485	GO:0060485	mesenchyme development	32/916	320/18614	0.000117081307840768	0.0134084706865825	0.0120778612298897	DAB2/RFLNB/SEMA6A/LDLRAD4/TGFBR1/IL17RD/HAS2/SEMA4D/HES1/TGFBR3/SEMA7A/EDNRB/EOMES/TGFB2/ZNF703/NOTCH1/NRTN/GBX2/SEMA3D/DAB2IP/RADIL/NOTCH4/FOXC2/SOX8/MCRIP1/BASP1/SEMA6C/WNT5A/ISL1/ERBB4/IGF1/AMH	32
GO:0030178	GO:0030178	negative regulation of Wnt signaling pathway	21/916	174/18614	0.000134081487159251	0.0149764539636705	0.0134902433631041	DAB2/TMEM170B/NOTUM/ANKRD6/TLE1/IGFBP2/PTPRU/RNF43/NOTCH1/NKD2/CTNNBIP1/TPBGL/WWOX/TLE2/NKD1/DAB2IP/DKK2/WNT5A/ISL1/CITED1/TLE6	21
GO:0032200	GO:0032200	telomere organization	22/916	187/18614	0.000136716983990642	0.0149764539636705	0.0134902433631041	H4C13/H4C9/AURKB/TERT/H4C3/H4C5/EXO1/H4C11/H4C1/H4C14/H4C12/H3C2/H4C2/TERC/DOT1L/H3C12/H3C7/H4C4/H3C10/H3C11/HUS1B/PKIB	22
GO:0006814	GO:0006814	sodium ion transport	27/916	254/18614	0.000144014024913126	0.0154401419476008	0.0139079165828756	SLC24A4/SLC8A1/MLLT6/SLC6A17/ANK3/SCN8A/EDNRB/FXYD3/SLC5A4/ATP1B1/HCN1/HCN3/ASIC1/SHROOM2/SLC28A3/NKAIN1/SLC38A8/HCN2/SCNN1D/ATP1A3/P2RX7/ASIC3/WNK4/SNTA1/FXYD1/CACNA1H/SLC5A10	27
GO:0001764	GO:0001764	neuron migration	21/916	176/18614	0.000157684980297059	0.016553637827435	0.0149109130491429	SEMA6A/POU4F1/FYN/NRG3/CDK5R1/PHACTR1/ASTN2/EOMES/MDGA1/IGSF10/DCLK1/DAB2IP/NTN1/CELSR2/ZMIZ1/CDK5R2/LHX6/UNC5D/DNER/SPOCK1/TUBB2B	21
GO:0021537	GO:0021537	telencephalon development	28/916	270/18614	0.000166629375358772	0.0171356208659766	0.0154351421384968	BNIP3/POU3F3/NEFL/BCAN/SLC8A1/RTN4RL1/PROX1/EPHB3/HES1/SEMA7A/NRG3/CDK5R1/PHACTR1/EOMES/MDGA1/EFNA2/RTN4R/ATP1A3/DAB2IP/WNT5A/ERBB4/ZMIZ1/CDK5R2/KCNA3/KCNA2/LHX6/TUBB2B/LPAR1	28
GO:0033674	GO:0033674	positive regulation of kinase activity	39/916	430/18614	0.000181699077229887	0.0182554044243799	0.0164438023162336	MERTK/PDGFD/CCND1/ACVR2B/FZD5/SYK/VLDLR/TLR4/CARD14/PIK3R6/PROX1/ADRA2C/CDK5R1/ERBB2/STOX1/MAP2K6/TRAF4/PDGFA/TGFB2/VAV3/CEMIP/VAV2/DAB2IP/P2RX7/RASGRP1/PSRC1/AGAP2/CARD10/WNK4/SLC1A1/CAMKK1/WNT5A/ERBB4/IGF1/TNFRSF11A/LTK/CDK5R2/AGER/FGFR3	39
GO:1902075	GO:1902075	cellular response to salt	23/916	204/18614	0.000184763966192374	0.0182554044243799	0.0164438023162336	BCL11A/PRKAA2/CIB2/CHRNA7/FYN/CDK5R1/KCNJ10/PDXP/P2RY1/CHRM4/ADCY1/RGS10/SCNN1D/P2RX7/P2RY11/CEBPA/SLC1A1/CHRM3/WNT5A/ACHE/AGRN/CACNA1H/NPTX1	23
GO:0002433	GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	7/916	26/18614	0.000197156608993158	0.0187447575984249	0.0168845938029493	PTPRJ/SYK/FYN/PLA2G6/VAV3/VAV2/FCGR2B	7
GO:0038096	GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	7/916	26/18614	0.000197156608993158	0.0187447575984249	0.0168845938029493	PTPRJ/SYK/FYN/PLA2G6/VAV3/VAV2/FCGR2B	7
GO:0014033	GO:0014033	neural crest cell differentiation	14/916	95/18614	0.000219655581914949	0.0204971199494339	0.0184630578794788	SEMA6A/SEMA4D/HES1/SEMA7A/EDNRB/NRTN/GBX2/SEMA3D/RADIL/FOXC2/SOX8/SEMA6C/ISL1/ERBB4	14
GO:0050807	GO:0050807	regulation of synapse organization	25/916	234/18614	0.000231298336750479	0.0209367518406481	0.0188590622485403	AMIGO2/GRIN2B/NEFL/EPHB3/SEMA4D/FYN/CBLN1/RAB17/CDK5R1/KIF1A/PLXNC1/MDGA1/C1QL1/EPHA7/SLITRK2/CAMKV/DAB2IP/FCGR2B/NTN1/ARHGAP33/EFNB3/WNT5A/SIPA1L1/AGRN/LRFN3	25
GO:0045664	GO:0045664	regulation of neuron differentiation	22/916	194/18614	0.000232676742027445	0.0209367518406481	0.0188590622485403	CDK5RAP2/BCL11A/ZNF536/RAP1GAP/TRIM32/PROX1/HES1/TP73/ADRA2C/EDNRB/CDK5R1/BMP6/NOTCH1/GDPD5/MYCL/SOX8/RAC3/TCF4/ISL1/LTK/OLIG2/GDF7	22
GO:0098657	GO:0098657	import into cell	27/916	265/18614	0.00028783925056295	0.0254459997120474	0.0229208282258068	ACSL3/SLC24A4/SLC12A7/LRRC8C/SLC8A1/PER2/SLC15A4/SLC7A5/FYN/SLC2A10/SCN8A/KCNJ10/ATP1B1/SLC2A3/SLC19A1/TRPM1/SLC29A4/HCN2/SLC29A2/SCNN1D/ATP1A3/KCNJ4/SLC43A1/SLC1A1/SYNGR3/SNAP25/CACNA1H	27
GO:0050767	GO:0050767	regulation of neurogenesis	35/916	381/18614	0.000300906155524544	0.0259219767565595	0.0233495709830239	OBSL1/NEFL/SEMA6A/BHLHE40/TRIM32/ANKRD27/PER2/POU4F1/HES6/PROX1/SLC7A5/SEMA4D/HES1/TP73/HMGB2/XRCC2/SERPINF1/SEMA7A/PLXNC1/PLXNA2/NOTCH1/EGR2/EPHA7/RTN4R/DPYSL5/SEMA3D/SOX8/NTN1/SORL1/SEMA6C/EFNB3/WNT5A/PLXNB1/OLIG2/ARHGAP4	35
GO:0048732	GO:0048732	gland development	39/916	441/18614	0.000303511932652711	0.0259219767565595	0.0233495709830239	JARID2/TYMS/RAP1GAP/CCND1/E2F7/ONECUT1/TGFBR1/CADM1/IGSF3/PROX1/EPHB3/SLC7A5/HES1/TGFBR3/WLS/SERPINF1/NRG3/HOXA13/CEACAM1/PDGFA/TGFB2/ZNF703/NOTCH1/HOXB13/FASN/SLC29A2/NKX2-3/CDKN1C/NOTCH4/CEBPA/NTN1/IQGAP3/WNT5A/ISL1/ERBB4/TNFRSF11A/CACNB4/GDF7/HESX1	39
GO:0007422	GO:0007422	peripheral nervous system development	12/916	76/18614	0.000317561991411263	0.0266699145786892	0.0240232860871117	POU3F1/POU4F1/RXRG/SCN8A/EDNRB/ERBB2/GPC1/EGR2/NFASC/SOX8/ISL1/ITGB4	12
GO:0002227	GO:0002227	innate immune response in mucosa	7/916	28/18614	0.000325596021641047	0.0268963664434301	0.0242272656655081	H2BC4/H2BC11/H2BC8/H2BC12/H2BC7/H2BC21/H2BC6	7
GO:0050803	GO:0050803	regulation of synapse structure or activity	25/916	240/18614	0.000340912495491612	0.0272607586544094	0.0245554968754898	AMIGO2/GRIN2B/NEFL/EPHB3/SEMA4D/FYN/CBLN1/RAB17/CDK5R1/KIF1A/PLXNC1/MDGA1/C1QL1/EPHA7/SLITRK2/CAMKV/DAB2IP/FCGR2B/NTN1/ARHGAP33/EFNB3/WNT5A/SIPA1L1/AGRN/LRFN3	25
GO:0050771	GO:0050771	negative regulation of axonogenesis	11/916	66/18614	0.000345652565197312	0.0272607586544094	0.0245554968754898	SEMA6A/SEMA4D/SEMA7A/EPHA7/RTN4R/SEMA3D/NTN1/SEMA6C/EFNB3/WNT5A/ARHGAP4	11
