Name	501mel_RepI	501mel_RepII	501mel_sg6_XLOC_d3_I	501mel_sg6_XLOC_d3_II	501mel_sg7_XLOC_d3_I	501mel_sg7_XLOC_d3_II	501mel_sg6_XLOC_d5_I	501mel_sg6_XLOC_d5_II	501mel_sg7_XLOC_d5_I	501mel_sg7_XLOC_d5_II
ENSG00000165819	22.1123	22.8918	24.1574	34.8834	25.4234	24.7693	25.5808	34.9736	25.8733	34.3322
ENSG00000234238	0	0	0	0	0	0	0	0	0	0
ENSG00000129472	8.30484	8.65491	14.5146	13.727	13.9546	18.9704	13.217	15.9234	12.3006	12.8174
ENSG00000110811	3.86154	4.72526	5.11165	3.94726	3.5247	2.87957	5.27328	2.93443	5.14306	3.00708
ENSG00000266117	0	0	0	0	0	0.157492	0	0	0	0
ENSG00000258870	0	0	0.324996	0	0	0	0	0	0	0
ENSG00000200785	0	0	0	0	0	4.69805	0	11.2505	9.69374	13.9426
ENSG00000100888	37.4018	46.17	51.0102	50.754	46.2874	56.9125	45.5271	49.8772	46.4782	42.1692
ENSG00000199370	0	0	0	0	0	0	0	0	0	0
ENSG00000260830	0	0.519933	0.235944	0.106056	0.107544	0	0	0.222638	0.454869	0.125049
ENSG00000229118	0.253814	0.401013	0	0.109062	0	0	0	0	0	0
ENSG00000225818	0	0	0	0	0	0	0	0	0	0
ENSG00000092201	58.7085	64.173	38.5558	50.2013	38.8479	50.7688	43.0109	56.4553	44.2119	52.1017
ENSG00000233252	0	0	0	0	0	0	0	0	0	0
ENSG00000258906	0	0	0	0	0	0	0	0	0	0.127972
ENSG00000022355	0	0	0	0	0.03055	0.056194	0	0	0	0
ENSG00000169327	0.013794	0	0.013374	0	0	0	0	0.226468	0	0
ENSG00000256220	0	0	0	0	0	0	0	0	0	0
ENSG00000178107	0	0.325916	0	0	0	0	0	0	0	0
ENSG00000255390	0	0	0	0	0	0	0	0	0	0
ENSG00000173431	0	0	0	0	0	0	0	0	0	0
ENSG00000165799	0	0	0	0	0	0.059961	0	0	0	0
ENSG00000255472	0	0	0	0	0	0	0	0	0	0
ENSG00000258604	0	0	0	0	0	0	0	0	0	0
ENSG00000227775	0.139129	1.11917	0.157213	0.263463	0.20842	0.188231	1.35002	0.284733	0.077707	0.168377
ENSG00000261219	0.12192	0.128502	0.466489	0.419392	0.319026	0.299146	0.467501	0.366907	0	0
ENSG00000284122	0	0	0	0	0	0	0	0	0	0
ENSG00000230989	52.8263	63.6354	51.1668	57.0702	56.7925	56.6567	48.0338	61.8613	53.886	59.8623
ENSG00000165795	11.8987	15.4098	14.2382	13.9847	15.2638	13.0843	9.45775	9.6544	7.2993	8.27052
ENSG00000165794	0.297169	0	0	0	0	0	0	0.087214	0	0
ENSG00000185304	0	0	0	0	0.024517	0	0	0	0	0
ENSG00000258471	0	0.04674	0.125255	0	0.117502	0.036106	0	0.078238	0.064871	0.045156
ENSG00000258868	0	0	0	0.140375	0	0	0	0	0	0
ENSG00000165792	20.6205	24.1707	28.3952	39.8468	22.6234	39.3818	24.1911	43.1206	23.9118	35.5078
ENSG00000223941	0	0	0	0	0	0	0	0	0	0
ENSG00000213179	0	0	0	0	0	0	0	0	0	0
ENSG00000258772	0	0.657892	0	0	0.179825	0	0	0	0	0
ENSG00000169397	0	0	0	0	0	0	0	0	0	0
ENSG00000169413	0	0.173644	0.157235	0.212444	0.28918	0.403433	0.189154	0.099672	0	0.167432
ENSG00000181552	0	0	0	0	0	0	0	0	0	0
ENSG00000181562	0	0	0	0	0	0	0	0	0	0
ENSG00000258963	0	0	0	0	0	0	0	0	0	0
ENSG00000259171	0	0	0	0	0	0	0	0.787269	0	0.92097
ENSG00000230039	0	0	0	0	0.058753	0	0	0	0	0
ENSG00000258818	0.918457	1.31406	2.88542	1.02845	2.13765	2.41034	1.52402	0.57126	3.72172	1.38384
ENSG00000239327	0	0	0	0	0	0	0	0	0	0
ENSG00000145741	324.793	312.671	258.972	403.377	229.594	298.197	289.12	451.9	317.723	417.943
ENSG00000259060	0	0	0	0	0	0.02342	0	0	0	0
ENSG00000256197	1.60743	0.767784	0.139524	0.1253	0	0.47707	0.447418	0.174891	0.107696	0.295092
ENSG00000212306	0	0	0	0	0	0	0	0	0	0
ENSG00000258456	0	0	0	0	0	0	0	0	0	0
ENSG00000206678	0	0	0	0	0	0	0	0	0	0
ENSG00000137857	0.637432	0	0	0.010522	0	0.063023	0	0.014972	0	0.053254
ENSG00000258908	0	0	0	0	0	0	0	0	0	0
ENSG00000165782	7.23242	8.9807	12.1353	9.38306	7.30739	9.60744	8.03424	7.83262	9.20657	5.09876
ENSG00000100823	88.5035	83.7292	71.1821	84.7144	69.8895	70.8511	69.9405	82.0612	72.712	85.1874
ENSG00000092094	17.3355	16.2345	18.1188	12.9695	15.7062	13.6795	16.7233	14.7395	15.3263	14.4525
ENSG00000251192	0.268459	0.389764	0.365354	0.316042	0.25671	0.642598	0.378994	0.10094	0.246726	0.166933
ENSG00000200225	0	0	0	0	0	0	0	0	0	0
ENSG00000254846	0	0	0.186343	0	0	0	0	0	0	0
ENSG00000225538	0	0	0	0	0	0	0	0	0	0
ENSG00000147955	73.0994	77.7511	58.717	73.5941	59.138	51.7684	70.832	76.9489	67.5098	76.1344
ENSG00000220960	0	0	0	0	0	0	0	0	0	0
ENSG00000188897	0.898116	0.894329	0.976235	0.462857	0.264046	0.487116	0.394626	0.499613	0.719186	1.01662
ENSG00000260291	0	0	0	0	0	0	0	0	0	0
ENSG00000129484	21.4469	27.6512	21.0652	24.4041	19.2397	24.8453	19.2246	25.1394	19.9822	21.9248
ENSG00000271098	0	0	0	0	0	0	0	0	0	0
ENSG00000215197	0	0	0	0	0	0	0.089407	0	0	0
ENSG00000237473	0	0	0	0.061147	0	0	0	0	0	0
ENSG00000142409	14.3482	19.2542	13.7851	10.8557	10.7041	11.2322	12.615	11.8397	12.4245	11.6132
ENSG00000226270	0	0	0	0	0	0	0	0	0	0
ENSG00000277209	5085.85	4956.96	9730.52	9453.3	8597.83	9994.82	7965.33	7950.67	7611.13	9173.99
ENSG00000111729	0.326804	0	0.236958	0.114476	0.115924	0.135109	0	0.050066	0.42263	0.269804
ENSG00000222489	47.2671	51.8832	35.5009	61.233	39.6513	82.888	40.0961	53.4514	53.9261	77.6565
ENSG00000255268	0	0	0	0	0	0	0	0	0	0
ENSG00000100814	36.1286	37.786	23.8228	32.9678	23.5193	24.0244	30.2453	35.1967	26.6924	34.2844
ENSG00000258459	0	0	0	0	0	0	0	0	0	0
ENSG00000232403	0	0.42303	0.770128	0.694425	1.02806	0	0.609707	0.23764	0.295978	0.40044
ENSG00000176198	0	0	0	0	0	0	0	0.036528	0	0
ENSG00000258625	0	0	0	0	0	0	0	0	0	0
ENSG00000258468	0	0	0	0	0	0	0	0	0	0
ENSG00000184394	0	0	0	0	0	0	0	0	0	0
ENSG00000164091	25.5094	28.7403	20.3145	26.2258	21.4679	25.3284	25.3183	25.5562	23.1594	24.1236
ENSG00000248545	0	0	0	0	0	0.198062	0	0	0	0
ENSG00000176230	0	0	0	0	0	0	0	0	0	0.011578
ENSG00000176246	0	0	0	0	0	0	0	0	0	0
ENSG00000180318	11.4852	13.4038	17.2932	30.0158	17.9149	23.9188	18.7852	27.6182	16.516	28.5866
ENSG00000270306	0	0	0	0	0	0	0	0	0	0
ENSG00000258899	0	0	0	0	0	0	0	0	0	0
ENSG00000176253	0	0	0	0	0	0	0	0	0	0
ENSG00000287686	2.29038	2.07013	2.45922	2.44436	2.60237	2.40365	2.21453	3.32827	1.77447	3.05681
ENSG00000169484	0	0	0	0	0	0	0	0	0	0
ENSG00000285628	0.327856	0.294466	0.714696	0.325791	0.286407	0.596436	0.351586	0.417709	0.267166	0.200391
ENSG00000258822	0	0	0	0	0	0	0.052794	0	0	0
ENSG00000176290	0	0	0	0	0	0	0	0	0	0
ENSG00000258438	0	0	0	0	0	0	0	0	0	0
ENSG00000232827	0.321076	0.389693	1.3281	0.31476	0.729623	0.658863	0.821512	0.520529	0.388285	0.809678
ENSG00000141314	0.086846	0.212067	0.143627	0.098553	0.132396	0.192028	0.152558	0.060853	0.127073	0.076226
ENSG00000257142	0	0	0	0	0	0	0	0	0	0
ENSG00000257493	0	0	0	0	0	0.396124	0	0	0	0
ENSG00000230397	0	0	0	0	0	0	0	0	0	0
ENSG00000230840	0	0	0	0	0	0	0	0	0	0
ENSG00000260602	0.266247	0	0	0.227237	0	0	0	0	0.195781	0
ENSG00000258324	0	0	0	0	0	0	0	0	0	0
ENSG00000257162	0	0	0	0	0	0	0	0	0	0
ENSG00000187537	0.029528	0.076133	0	0	0.024939	0	0	0.011667	0	0
ENSG00000254138	0	0	0	0	0	0	0	0	0	0
ENSG00000223396	0.358955	0.717207	0.303057	0.781443	0.321548	0.222074	0.556205	0.491757	0.465328	0.153939
ENSG00000149218	9.48361	11.3861	7.62854	6.71823	6.93046	9.58201	11.6715	9.73306	11.64	9.11473
ENSG00000278301	0	0	0.068842	0.12427	0.127981	0.088312	0	0.022021	0.026434	0.036852
ENSG00000230052	0	0	0	0	0	0	0	0	0	0
ENSG00000223026	0	0	0	0	0	0	0	0	0	0
ENSG00000212171	0	0	0	0	0	0	0	0	0	0
ENSG00000287515	3.97802	4.71621	5.93497	8.44151	3.43682	7.86766	2.73039	6.46176	4.59006	5.094
ENSG00000237447	0	0	0	0	0	0	0	0	0	0
ENSG00000258781	0.185908	0	0	0	0	0	0	0	0	0
ENSG00000271632	0	0	0	0	0	0	0	0	0	0.16757
ENSG00000277367	0	0	0	0	0	0	0	0	0	0
ENSG00000253420	0	0	0	0.101387	0.205777	0.096408	0	0.070994	0	0
ENSG00000277529	0	0	0	0	0	0	0	0.110268	0.272636	0
ENSG00000258076	0	0	0	0	0.145469	0	0	0	0	0
ENSG00000251719	0	0	0	0	0	0	0	0	0	0
ENSG00000257504	0	0	0	0	0	0	0	0	0	0
ENSG00000257825	0	0	0	0	0	0	0	0	0	0
ENSG00000256843	0	0	0	0	0	0	0	0	0	0
ENSG00000086619	3.72508	3.4874	4.91954	5.3823	6.27707	11.7979	4.49689	4.70454	4.98499	3.38793
ENSG00000257959	0	0	0	0	0	0	0	0	0	0
ENSG00000203812	639.721	596.445	225.837	124	201.398	137.552	182.436	86.1128	135.433	140.771
ENSG00000206906	0	0	0	0	0	0	0	0	0	0
ENSG00000272160	0	0	0	0	0	0	0	0	0	2.58878
ENSG00000181404	7.48945	8.84908	6.69832	4.52358	4.40989	5.99414	5.91719	3.63103	4.54024	3.16995
ENSG00000215398	0	0.104618	0	0	0	0	0	0	0	0
ENSG00000167700	7.7464	9.59934	8.30027	6.86023	3.83264	4.3774	7.47369	7.69178	6.01475	6.41916
ENSG00000260615	0	0	0.184401	0	0	0.314985	0	0.1149	0	0
ENSG00000285672	0	0	0	0	0	0.086359	0.040506	0	0.038807	0.107896
ENSG00000265450	0	0	0	0	0	0	0	0	0	0
ENSG00000199335	0	0	0	0	0	0	0	0	0	0
ENSG00000264539	0	0	0	0	0	0	0	0	0	0
ENSG00000251506	0	0	0	0	0	0	0	0	0	0
ENSG00000283347	0	0	0	0	0	0	0	0	0	0
ENSG00000185989	9.47974	12.9213	10.9464	8.74644	8.59327	10.1572	10.6029	9.77674	11.1162	8.38123
ENSG00000283199	3.0331	4.06415	2.01508	1.3367	1.61919	1.48228	2.0018	1.37493	1.76204	1.25533
ENSG00000286699	3.95815	4.05907	4.83668	10.2834	6.40121	7.59394	4.06965	11.403	6.06032	9.64243
ENSG00000274766	0	0	0	0	0	0	0	0	0	0
ENSG00000146374	0	0	0.010948	0	0	0.039688	0	0	0	0
ENSG00000267289	0	0	0.09207	0	0	0	0.221499	0.058205	0.07092	0
ENSG00000279770	0	0	0	0	0.039625	0	0	0	0	0
ENSG00000231228	0	0	0	0	0	0	0	0	0.253352	0
ENSG00000185974	0	0	0	0.01132	0	0	0.030167	0	0.009611	0.017715
ENSG00000150403	16.2225	19.8887	20.6843	27.7672	24.6746	33.7611	21.5764	21.1436	26.0537	15.3071
ENSG00000153531	1.40834	1.26904	0.835821	3.73015	1.27304	2.27529	1.53489	3.0484	1.1933	2.89638
ENSG00000279153	0	0	0	0	0	0	0	0	0	0
ENSG00000232662	0	0.121801	0.165171	0.099292	0.050919	0.235433	0.088349	0.210429	0.253973	0
ENSG00000139842	48.7568	55.3641	55.9138	66.9196	56.9649	69.4168	53.9995	62.4701	55.5987	65.7564
ENSG00000269125	3.83979	0	7.32427	1.11986	2.18017	1.06717	3.76649	1.55108	3.66762	1.25674
ENSG00000283828	1.92317	1.95202	1.36418	2.12769	1.15549	2.26969	2.54777	2.22702	1.94191	1.67494
ENSG00000230371	0	0	0	0	0	0	0	0	0	0
ENSG00000173611	3.45817	8.83807	3.51485	2.96934	4.37898	3.18033	3.73547	4.22044	3.38734	3.58353
ENSG00000104974	0	0	0	0	0	0	0	0	0	0
ENSG00000057593	0	0	0	0.020664	0.02133	0	0.036726	0	0.017562	0.024533
ENSG00000251954	0	0	0	0	0	0	0	0	0	0
ENSG00000235280	1.85771	3.16342	0.593422	0.356	1.17682	0.507532	1.03101	1.12395	0.457237	0.735423
ENSG00000249943	0	0	0	0	0	0	0	0	0	0
ENSG00000250164	0	0	0	0	0	0	0	0	0	0
ENSG00000068650	114.147	141.099	37.1038	47.7803	26.2463	28.5878	57.8613	56.2468	51.7512	43.608
ENSG00000153498	0	0	0	0	0	0	0	0	0	0
ENSG00000260385	0	0	0	0	0	0	0	0	0	0
ENSG00000226181	0	0	0	0	0	0	0	0	0	0
ENSG00000153495	0.098538	0.10423	0.188954	0.287266	0	0.080803	0	0.101063	0.184144	0.254678
ENSG00000277448	0	0	0	0	0	0	0	0	0	0
ENSG00000227352	0	0	0	0	0	0	0	0	0	0
ENSG00000252765	0	0	0	0	0	1.99845	0	0	0	0
ENSG00000102606	58.3779	66.0345	50.0918	58.7515	41.951	57.0975	45.7959	63.1601	46.6777	55.0096
ENSG00000250971	0	0	0	0	0	0	0.086745	0	0	0
ENSG00000286824	0	0	0	0	0	0	0	0	0	0
ENSG00000229152	7.1209	8.85046	6.58255	12.843	7.20747	5.79593	7.58014	9.88515	8.25279	8.80036
ENSG00000234016	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0
ENSG00000189068	0	0	0	0	0	0	0	0	0	0
ENSG00000088448	89.2549	98.9626	81.0263	100.067	79.0108	80.8599	92.6857	109.333	83.796	90.5059
ENSG00000225239	0	0	0	0	0	0	0	0	0.148208	0
ENSG00000134905	24.8581	31.742	31.4249	25.8136	29.8696	34.9112	29.317	27.3384	27.8336	23.1933
ENSG00000117528	39.9522	45.3834	44.2646	54.9196	51.8146	60.8985	48.1648	51.4292	50.9259	44.7734
ENSG00000213995	12.1647	13.2453	15.1457	16.8177	13.3735	14.4073	15.413	16.7293	16.0373	14.469
ENSG00000279237	0	0	0	0	0	0	0	0	0	0
ENSG00000188755	0	0	0	0	0	0	0	0	0.020954	0
ENSG00000231428	0	0	0	0	0	0	0	0	0	0
ENSG00000276269	0	0	0	0	0	0	0	0	0	0
ENSG00000223087	0	0	0	0	0	0	0	0	0	0
ENSG00000274331	0	0	0	0	0	0	0	0	0	0
ENSG00000117713	128.5	191.854	162.123	103.898	165.774	87.2185	130.704	70.0425	143.26	68.2989
ENSG00000201161	0	0	0	0	0	0	0	0	0	0
ENSG00000275248	0	0.157799	0	0.128768	0	0	0	0	0	0.303185
ENSG00000234854	0	0	0	0	0	0	0	0	0	0
ENSG00000287964	0	0	0.040753	0	0	0	0	0	0	0.043597
ENSG00000229792	0	0	0	0	0	0	0	0	0	0
ENSG00000225369	0	0	0.572433	1.52391	0	0	0	0.771768	1.35369	0.980348
ENSG00000236053	0	0	0	0	0	0	0	0	0	0
ENSG00000041515	10.2102	12.7443	9.2907	16.5405	8.99852	10.3889	8.15398	15.3506	9.63269	11.7335
ENSG00000274718	0	0	0	0	0.016905	0	0	0	0	0
ENSG00000201847	0	0	0	0	0	0	0	0	0	0
ENSG00000279157	0	0	0	0	0	0	0	0	0	0
ENSG00000239650	0.696645	0.506054	0	0.434825	0.562551	0	1.10375	0.421852	0.223154	0.709512
ENSG00000287546	0	0	0	0	0	0	0	0	0	0
ENSG00000206844	0	0	0	0	0	0	0	0	0	0
ENSG00000227590	0	0	0	0	0	0	0	0	0	0
ENSG00000234863	0	0	0	0	0	0	0	0	0	0
ENSG00000230156	0	0	0	0	0	0	0	0	0	0
ENSG00000277034	0	0	0	0	0	0	0	0	0	0
ENSG00000284966	0	0	0.01965	0	0	0	0	0	0.030158	0
ENSG00000223963	0.409442	0.029257	0	0	0	0.022576	0	0	0	0
ENSG00000174418	0	0	0	0	0	0	0	0	0	0
ENSG00000286780	0	0	0	0	0	0	0	0	0	0
ENSG00000275502	0	0	0	0	0	0	0	0	0	0
ENSG00000215441	0	0	0	0	0	0	0	0	0	0
ENSG00000230671	0	0	0	0	0	0	0	0	0	0
ENSG00000232307	0	0	0	0	0	0	0	0	0	0
ENSG00000287734	0	0	0	0	0	0.033632	0	0	0	0
ENSG00000234551	0	0	0	0	0	0	0	0	0	0
ENSG00000250878	0.02474	0	0.047867	0.129673	0.022304	0	0.076827	0	0.167907	0.104858
ENSG00000166986	48.3741	56.0968	68.2199	76.7082	93.6668	82.1049	60.417	89.696	71.9038	64.3489
ENSG00000270276	5.8749	6.6601	1.89081	0.724613	0	0	3.53248	3.87006	4.74242	2.98535
ENSG00000134897	14.6908	16.7182	15.4175	21.1904	16.1994	17.5233	12.8877	21.9911	12.2377	16.1168
ENSG00000177551	0	0	0	0	0	0.006149	0	0	0	0
ENSG00000277947	0	0	0	0	0	0	0	0	0	0
ENSG00000286312	0	0	0.151803	0	0	0.129832	0	0	0	0.08085
ENSG00000251804	0	0	0	0	0	0	0	0	0	0
ENSG00000180015	1.66154	0.874373	1.17871	0.499415	0.438504	1.33786	0.81519	0.934122	1.51515	0.866129
ENSG00000139780	0	0	0	0	0	0	0	0.036284	0	0
ENSG00000184111	0.881252	0	0	0	0	0	0	0	0	0
ENSG00000261057	0	0	0	0	0	0	0	0	0	0
ENSG00000261377	4.42464	7.64011	5.6287	6.2943	6.52273	3.39418	6.31963	4.613	5.84415	5.19853
ENSG00000272143	0	0	0	0	0	0	0	0	0.044519	0
ENSG00000251253	0	0	0	0	0	0	0	0	0	0
ENSG00000219492	0	0	0	0	0	0	0	0	0	0
ENSG00000139890	0.092705	0	0.044722	0.040346	0.028372	0	0	0.1142	0.046826	0
ENSG00000234445	0	0	0	0	0	0	0	0	0	0
ENSG00000166272	14.7961	16.1609	19.1343	17.3873	20.0837	20.0717	20.6579	19.0993	19.1227	16.3257
ENSG00000201690	0	0	0	0	0	0	0	0	0	0
ENSG00000181781	0.474666	0	0.150936	0.038251	0	0	0.12098	0.389316	0.380665	0.045344
ENSG00000265164	0	0	0	0	0	0	0	0	0	0
ENSG00000006576	14.1144	18.8986	18.3391	18.088	17.0048	20.224	15.3147	18.7146	16.0441	18.6092
ENSG00000201155	0	0	0	0	0	0	0	0	0	0
ENSG00000214051	0	0	0	0	0	0	0	0	0	0
ENSG00000233009	0.118393	0.296526	0.076402	0.069007	0.089107	0.03267	0.076645	0.171629	0.073283	0.040976
ENSG00000269043	0	0	0	0	0.07613	0	0	0	0	0
ENSG00000237082	0	0	0	0	0	0.753114	0	0	0	0
ENSG00000167858	0	0	0	0	0	0	0	0	0	0
ENSG00000234650	0.191591	0	0	0	0	0	0	0	0	0
ENSG00000287330	0	0	0	0	0	0	0	0	0.07746	0.107682
ENSG00000228501	0.128452	0.135278	0.122916	0	0	0	0	0	0	0.130231
ENSG00000253833	0	0	0	0.22937	0	0	0.614792	0	0	0
ENSG00000236554	0.094816	0	0	0	0	0	0	0	0.035144	0
ENSG00000259837	0	0	0	0	0	0	0	0	0	0
ENSG00000274605	3.47507	3.81251	4.85358	5.40929	6.0987	4.53194	3.43237	4.90465	4.25223	5.41797
ENSG00000212388	0	0	0	0	0	0	0	0	0	0
ENSG00000225999	0	0	0	0	0	0	0	0	0	0
ENSG00000139800	5.05145	4.79375	3.90426	6.63356	4.05971	6.02677	4.06797	7.27402	4.60984	5.85394
ENSG00000135842	0	0	0	0	0	0.019392	0	0	0	0
ENSG00000234303	0	0	0	0	0	0	0	0	0	0
ENSG00000263615	0	0	0	0	0	0	0	0	0	0
ENSG00000125246	6.23729	5.73712	3.67241	7.73453	3.69576	3.45322	3.77541	10.1834	4.12184	7.33372
ENSG00000159388	1.36277	1.21878	0.779406	0.559539	0.727055	0.700735	0.737768	0.795108	0.843469	0.643024
ENSG00000234239	0.190928	0.599635	0.181868	0	0	0	0	0.226709	0	0.191524
ENSG00000220505	0	0	0	0	0	0	0	0	0	0
ENSG00000203441	0.705509	0.249651	0	0.407215	0.138662	0.128864	0.30211	0.143363	0.347894	0
ENSG00000285448	0	0	0	0	0	0	0	0	0	0
ENSG00000218502	0.27118	0.283111	0	0	0.463403	0	0.206078	0	0.399405	0
ENSG00000228889	2.45416	1.9686	0.613841	1.00177	0.706828	0.412862	0.596258	1.22678	1.01714	1.04818
ENSG00000249550	0.676631	1.3214	3.6332	4.4485	2.76813	6.0492	2.43313	4.2418	3.36142	4.85073
ENSG00000260992	0.521316	0.828833	0.166835	0	0.153245	0.214033	0.133797	0.158479	0.064229	0.088773
ENSG00000243366	0	0	0	0	0	0	0	0	0	0
ENSG00000237980	0	0	0	0	0	0.10923	0	0	0	0
ENSG00000286512	0	0	0	0	0	0	0	0.009713	0	0
ENSG00000267374	9.84115	15.1204	4.6594	8.75235	6.78068	5.52238	6.27925	8.38921	5.14028	7.3796
ENSG00000271150	0	0	0	0	0	0	0	0	0	0
ENSG00000102572	49.61	52.397	40.5571	50.1439	33.6374	45.7568	27.7692	35.1642	27.8707	25.555
ENSG00000151577	0	0	0	0	0	0	0	0	0	0
ENSG00000266107	0	0	0	0	0	0	0	0	0	0
ENSG00000269599	0	0.179516	0	0	0	0	0.130846	0	0	0
ENSG00000275458	0	0	0	0	0	2.80313	0	0	0	6.99829
ENSG00000222969	0	0	0	0.266792	0.265395	0.507297	0.236509	0	0.229276	0
ENSG00000257869	0	0	0	0	0	0	0	0	0	0
ENSG00000139797	0.044415	0	0.042863	0	0	0.073314	0	0	0	0
ENSG00000152767	107.428	135.575	63.1692	77.2378	60.1438	64.0773	80.2477	81.5126	89.3935	65.5382
ENSG00000065150	95.2455	108.35	52.5765	76.8429	60.6042	65.3735	57.0167	88.469	64.5179	74.299
ENSG00000254924	0	0	0	0	0	0	0	0	0	0
ENSG00000243918	0	0.034468	0	0	0	0	0.024964	0	0	0.066758
ENSG00000233291	0	0	0	0	0	0	0	0	0	0
ENSG00000130508	0	0	0	0	0	0	0	0	0	0
ENSG00000276573	5.65235	2.57133	5.38348	0	1.36381	3.32827	0.596571	1.43399	2.31963	0.793766
ENSG00000125249	6.70976	6.59328	3.88062	5.70021	3.84203	5.63174	4.41228	6.46576	4.99174	5.94487
ENSG00000286416	0.100977	0.241292	0.121989	0.303052	0.199374	0.115038	0.127592	0.294573	0.159462	0.30311
ENSG00000278180	0	0	0	0	0	0	0	0	0	0
ENSG00000202290	0	0	0	0	0	0	0	0	0	0
ENSG00000252510	0	0	0	0	0	0	0	0	0	0
ENSG00000222472	0	0	0	0	0	0	0	0	0	0
ENSG00000234267	0	0	0	0	0	0	0	0	0	0
ENSG00000272772	1.00167	0	1.00594	0.360589	0.527661	0.566637	0	1.80747	0.477011	0.216053
ENSG00000205560	19.6002	22.7571	10.1467	10.8837	8.40899	8.47354	11.211	10.1715	9.21924	8.07729
ENSG00000235137	0	0	0	0	0	0	0	0	0	0
ENSG00000273771	0	0	0	0	0	0	0	0	0	0
ENSG00000242614	0	0	0	0	0	0	0	0	0	0
ENSG00000226977	0.441996	0.463152	0.421371	0	0.748879	0.361302	1.33084	0	0.323163	0.875378
