term,p-value,q-value
STAT5 23275557 ChIP-Seq MAMMARY-EPITHELIUM Mouse,0.02222305851585704,0.18052633239879415
PPAR 26484153 Chip-Seq NCI-H1993 Human,0.022537834690322535,0.18052633239879415
TBX20 22328084 ChIP-Seq HEART Mouse,0.02296337658574292,0.18052633239879415
TBX20 22080862 ChIP-Seq HEART Mouse,0.02296337658574292,0.18052633239879415
IRF8 21731497 ChIP-ChIP J774 Mouse,0.023045914774314148,0.18052633239879415
SOX9 24532713 ChIP-Seq HFSC Mouse,0.02387938420465929,0.18512677239076067
P63 26484246 Chip-Seq KERATINOCYTES Human,0.024949457035788495,0.19144889480523417
KLF4 26769127 Chip-Seq PDAC-Cell Line Human,0.025690094429793812,0.19363167911052803
PADI4 21655091 ChIP-ChIP MCF-7 Human,0.025836575245425774,0.19363167911052803
SPI1 22096565 ChIP-ChIP GC-B Mouse,0.02616908919835508,0.19363167911052803
ZNF217 24962896 ChIP-Seq MCF-7 Human,0.02626387136871524,0.19363167911052803
FOXA1 33576154 ChIP-Seq Human Lung ProstateCancer,0.026955525065022978,0.19680150338735222
SOX2 16153702 ChIP-ChIP HESCs Human,0.027468775655757262,0.19862037781855252
GATA2 19941826 ChIP-Seq K562 Human,0.027885624730951734,0.19904975358785018
HOXB4 20404135 ChIP-ChIP EML Mouse,0.028057545053606543,0.19904975358785018
AR 22383394 ChIP-Seq PROSTATE CANCER Human,0.029516031125313712,0.20743977015173748
NR1H3 23393188 ChIP-Seq ATHEROSCLEROTIC-FOAM Human,0.030077680883531528,0.20942977800384915
RUNX1 17652178 ChIP-ChIP JURKAT Human,0.03086121388195085,0.21291406274520222
CREB1 23762244 ChIP-Seq HIPPOCAMPUS Rat,0.03171371484916302,0.21680648696882354
POU2F1 35413990 ChIP-Seq Human ARnegCRProstateCancer,0.0321983107106834,0.2169473790713794
RXR 22158963 ChIP-Seq LIVER Mouse,0.03231131177658842,0.2169473790713794
POU3F2 20337985 ChIP-ChIP 501MEL Human,0.03297932440159351,0.21941639888467157
STAT5A 28732065 ChIP-Seq J2E Mouse Blood,0.033262592384112444,0.21941639888467157
GATA2 21666600 ChIP-Seq HMVEC Human,0.033893428467876546,0.22163354963341883
STAT5B 24692510 ChIP-Seq Epithelium Mouse Mammary,0.03720602752823036,0.24119769570025196
FOXA1 26457646 ChIP-Seq LHSAR Human ProstateCancer,0.03805732577707034,0.24255065209951043
STAT6 20620947 ChIP-Seq CD4 POS T Human,0.038320894283859167,0.24255065209951043
TP53 18474530 ChIP-ChIP U2OS Human,0.03838235053170445,0.24255065209951043
TP53 23651856 ChIP-Seq MEFs Mouse,0.039376642703332514,0.24479215572903792
GATA2 26923725 Chip-Seq HEMANGIOBLAST Mouse,0.0396104075253723,0.24479215572903792
KLF5 20875108 ChIP-Seq MESCs Mouse,0.03971362100923222,0.24479215572903792
PKCTHETA 26484144 Chip-Seq BREAST Human,0.04165826883598174,0.25356145428910043
ELK1 19687146 ChIP-ChIP HELA Human,0.04181066533490486,0.25356145428910043
SALL4 18804426 ChIP-ChIP XEN Mouse,0.043610130845714884,0.2601351396465351
EOMES 21245162 ChIP-Seq HESCs Human,0.04378429856372666,0.2601351396465351
IRF8 22096565 ChIP-ChIP GC-B Human,0.043932397254135586,0.2601351396465351
PDX1 19855005 ChIP-ChIP MIN6 Mouse,0.044915159044527767,0.26181766308306387
WT1 20215353 ChIP-ChIP NEPHRON PROGENITOR Mouse,0.04548928417331997,0.26181766308306387
KDM2B 26808549 Chip-Seq REH Human,0.045586312977608116,0.26181766308306387
CUX1 19635798 ChIP-ChIP MULTIPLE CANCER TYPES Human,0.045609193967927356,0.26181766308306387
GATA3 26560356 Chip-Seq TH1 Human,0.046931404609388376,0.26736678989590956
OCT1 27270436 Chip-Seq PROSTATE Human,0.048570356945207845,0.2710938305972605
POU5F1 16153702 ChIP-ChIP HESCs Human,0.048606990531604596,0.2710938305972605
NR3C1 23031785 ChIP-Seq PC12 Mouse,0.04866711054605075,0.2710938305972605
